Product_Category,Product_Name,Prodcut_Selling_Price,Prodcut_Mark_Price,Product_Rating,Product_link,Total_User,Product_subcategory1,Product_subcategory2,Product_ingredient,Product_Variety,Product_Availbility
makeup,MyGlamm LIT Glossy Liquid Eyeliner - Black Party (Midnight Black Shade) | Up to 24hr Water-proof & Smudge-proof (3.5ml),₹244,₹325,5 ratings,https://www.myglamm.com/product/lit-glossy-liquid-eyeliner-black-party.html,1435,Eye Makeup,Eyeliner,"MyGlamm LIT Glossy Liquid Eyeliner - Black Party is a midnight black shade eyeliner is an intensely-pigmented, ultra-glossy liquid formula. Featuring 5 shades in a lightweight, 24hr waterproof and smudge-proof formula. Its unique flexi-tip brush makes drawing precise.
The MyGlamm range is made for the multitasking woman who wants the most out of her makeup and skincare. It's all about glamour that's easy and accessible. Our makeup is rooted in innovation and created with the best skin-friendly ingredients. 
Manufacturer details:
Kascap Glass Pvt. Ltd., L 47, MIDC Taloja Dist Raigad - 410 208 Maharashtra, India Mfg. Lic. No.: MH/103798
Country of Origin : India
Net Quantity: 3.5ml
Generic name of the product: Liquid Eyeliner
Dimensions of the product: B: 1.6 CM X H: 10.1 CM
Important: All eye makeup products that will be shipped will have a shelf-life of a minimum of 24 months to 36 months.
Disclaimer: Colours of the makeup product may vary due to the differences in computer monitors and phone screen resolutions.",[],ADD TO BAG
makeup,MyGlamm LIT Radiant Matte Compact Powder - Snatched,₹224,₹299,5 ratings,https://www.myglamm.com/product/lit-radiant-matte-compact-snatched.html,1440,Face Makeup,Compact,"Snatched is a deep base hue that flatters dusky to deep skin tones. It is also PETA Approved cruelty-free and vegan.

Net Weight: 9 g

Manufacturer Detail
Regi India Cosmetics Pvt Ltd. C-08 Sara Industrial Estate, Chakrata Road, Rampur, Dehradun-248 197, Uttarakhand.

Country of Origin
Formulated in Italy

Disclaimer: Colours of the makeup may vary due to the differences in computer monitors and phone screens.
Important: All products that will be shipped will have a shelf-life of minimum 8 months to 12 months.",[],ADD TO BAG
makeup,"MyGlamm Super Kohl Long Stay Kajal - Black | Matte Finish, Long Lasting, Smudge Proof & Water Proof Eye Kajal Pencil",₹199,,5 ratings,https://www.myglamm.com/product/myglamm-super-kohl-long-stay-kajal.html,149,Eye Makeup,Kajal,,[],
makeup,"Manish Malhotra Hi-Shine Lipstick - Vintage Wine (Blackberry Shade) | Long Lasting, Creamy, UVB Protected with Satin, Shine, Matte Finish (4g)",₹679,₹799,4.9 ratings,https://www.myglamm.com/product/manish-malhotra-hi-shine-lipstick-vintage-wine.html,1866,Lip Makeup,Hi-Shine Lipstick,"Manish Malhotra Hi-Shine Lipstick Vintage Wine is a bewitching blackberry shade that's perfect for a night on the town. It is also PETA Approved cruelty-free and vegan.

Head-turner is as head-turner does. And a true head-turner knows she has a good thing with this range of Manish Malhotra Hi-Shine Lipsticks by MyGlamm. Intense colours and smooth, glossy textures that add another dimension to your lips. Your new pout favourite glides across like decadent butter. The Manish Malhotra lipsticks have an even texture with serious staying power. Let your lips do the talking.

Benefitsof Manish Malhotra Hi-Shine Lipstick
Curved bullet for precise application
High coverage and glossy shine
Creamy and smooth finish

Enhanced Properties
Offers UVB protection
Free from preservatives, mineral oils and nano-ingredients

Manish Malhotra Haute Couture Makeup exclusively by MyGlamm brings you a little bit of couture for everyday glamour carefully curated with India's leading fashion designer, Manish Malhotra.

Net Weight: 4 g

Manufacturer Detail
Regi India Cosmetics Pvt Ltd. C-08 Sara Industrial Estate, Chakrata Road, Rampur, Dehradun-248 197, Uttarakhand.

Country of Origin
Formulated in Italy

Disclaimer: Colours of the makeup may vary due to the differences in computer monitors and phone screens.
Important: All makeup products that will be shipped will have a shelf-life of minimum 8 months to 12 months.",[],ADD TO BAG
makeup,POPxo Makeup - Hot Damn! - Face & Eye Kit,₹413,₹459,4.9 ratings,https://www.myglamm.com/product/popxo-makeup-hot-damn-face-and-eye-makeup-essential-kit.html,316,Face Makeup,Kits,"Give It To Me Quick:
Special pearls and pigments for great luminosity
2 kits with different options for AM and PM use
Can be used to mattify makeup, to sculpt, add definition and glow
Highly pigmented, long-lasting and blends easily
Enriched with Vitamin E
Sustainable paper packaging with magnetic closure 
Icons
 Cruelty-free Vegan Paraben-free
Tell Me More
A makeup palette so good, it has everybody saying 'Hot daaaamn'!
Hot Damn is an all-in-one Face & Eye Makeup Kit that has all your PM makeup essentials - blush, highlighter, luminous setting powder and eyeshadow. This glamorous eye and face makeup kit is truly the fastest way to ace a fierce nighttime makeup look. It contains a muted crimson eyeshadow in shimmer, a deep nude eyeshadow in matte, a peach blush with red undertones, a warm toned highlighter, and a luminous translucent setting powder. Ideal for days when you want to #WerkIt, swipe on some shimmer and get ready to partay!
Ditch your clunky eye and face makeup products, because now you can fit all your essentials in one with the Rise & Shine Face & Eye Makeup Kit. This multi-tasking complete face makeup set will take your Glamm quotient up a notch. The products in this eye and face makeup kit make it easy to ace the perfect breezy day time makeup look. This mini face palette is perfect for beginners as well as professional makeup artists. Want more? All the shades have an intensely pigmented formula that blends like a dream. You can also take an executive decision and double up the gorgeous blush shade for a snazzy eyeshadow look.
Benefits
Makeup On-The-Go: This 4-in-1 eye and face makeup kit is for nighttime makeup looks that features 2 eyeshadow shades, a blush shade, a warm-toned highlighter, and a translucent setting powder. This multipurpose makeup palette can be used for subtle contouring as well.
Formula To Die For: This face and eye makeup palette includes an intensely pigmented formula that delivers a rich colour payoff. Its smooth texture allows you to design stunning makeup looks that are seamlessly blended.
Drop It Like Its Hot: Stunning shades in this full makeup kit allow you to create gorgeous makeup looks for bomb makeup selfies!
Boujee On A Budget: The 4-in-1 complete face makeup kit is specially designed to meet high makeup standards on a budget. So, if youre looking for a reasonable makeup investment, say hello to the best makeup palette under 500.
Who Is It For: Easy to use, this high-quality full face makeup set is perfect for both, beginners and professionals. Its compact packaging also makes it travel-friendly and is suitable for divas who are looking for makeup on the go.
Toxins? No!: Enriched with Vitamin E, all the shades in this makeup palette have a skin conditioning formula that avoids your makeup to crease. It is also free of alcohol, mineral oil, paraben, and D5.
Hashtag Aesthetic Goals: Did you notice that we kept your aesthetic needs on our agenda too? These cute, trendy and small makeup kits are designed to give you a gram-worthy vanity. Make space on your Instagram grid for some yummy pink palette shots!
Were Environment-Friendly Too: This face and eye makeup palette is made with sustainable paper packaging.
Manufacturer Detail:
Take2 Cosmetics, B-108, Bajrang Krupa Industrial Estate, Athal, Silvassa, 396230
Country of Origin: India
Net Weight: 11g
Generic product name: POPxo Makeup - Face & Eye Kit
Disclaimer: Colours of the makeup products may vary due to the differences in computer monitors and phone screen resolutions.
Important: All makeup products that will be shipped will have a shelf-life of minimum 5 months to 8 months.",[],ADD TO BAG
makeup,Manish Malhotra Luminous Moisturising Primer,₹595,₹700,5 ratings,https://www.myglamm.com/product/manish-malhotra-luminous-moisturising-primer.html,116,Face Makeup,Primer,,[],
makeup,"MyGlamm LIT - pH Lip Balm - Bite Me | Creamy, Hydrating Lip Balm with Luminous Effect & Fruity Strawberry Fragrance (2g)",₹259,₹345,4.9 ratings,https://www.myglamm.com/product/lit-ph-lip-balm-bite-me.html,2053,Lip Makeup,Lip Balm,"LIT PH Lip Balm Bite Me has a fruity strawberry fragrance. When you want to be subtle but can't be bothered about being shy, swipe this on. This lip balm is also PETA Approved cruelty-free and vegan.
Seductively caring thats our ultimate LIT pH Lip Balm by MyGlamm formula. Subtly pigmented tints, suspended in a waxy emollient, the fruit-kissed lip balm reacts to your pH levels and deliver a sheer wash of custom colour thats absolutely unique to you. Heres to soft and hydrated lips with the moisturizing power of a lip balm and a boost of colour. Thats some serious lip love, right there
The LIT Collection by MyGlamm features statement-making, cruelty-free makeup for the modern Gen-Z girl
Net Weight: 2 g

Manufacturer Detail
Regi India Cosmetics Pvt. Ltd., Plot No.-9, Sector-5, IIE SIDCUL, Haridwar, Uttarakhand - 249 403

Country of Origin: India
Generic product name: LIT - pH Lip Balm

Disclaimer: Colours of the makeup may vary due to the differences in computer monitors and phone screens.
Important: All makeup products that will be shipped will have a shelf-life of minimum 24 months to 30 months.",[],ADD TO BAG
makeup,MyGlamm LIT Liquid Matte Lipstick - Snacc,₹118,₹395,5 ratings,https://www.myglamm.com/product/lit-liquid-matte-lipstick-snacc.html,26,Lip Makeup,Red Lipstick,"Snacc is a vibrant warm red that makes your lips look good enough to eat. It is also PETA Approved cruelty-free and vegan.

You found The One! Trust us, ladies, this liquid matte lipstick will be your new love! The LIT Liquid Matte Lipstick by MyGlamm gives you soft, kiss-proof lips, no smudges or transfers, just pure, intense colour! Best of all, it's enriched with Moringa Oil that moisturises and smoothens dry, damaged lips.

Benefits
Matte finish
Smudge-proof and transfer-proof formula
Smooth, opaque application
Highly pigmented
Vegan-friendly

Enhanced Properties
Enriched with moringa oil that moisturises your lips, keeping them soft and supple
Long-lasting, up to 12 hours
Cruelty-free, not tested on animals
The LIT Collection by MyGlamm features statement-making, cruelty-free makeup for the modern Gen-Z girl
Net Weight: 3 ml
Manufacturer Detail:
M/s Viva Cosmetics, R. Indl. Complex, Asangaon, Thane - 421601, Maharashtra, M.L.No.: MH/104671
Country of Origin: India
Generic product name: LIT Liquid Matte Lipstick
Disclaimer: The lipstick swatch is for reference purposes only and may slightly vary from the colour of the bottle. Colours of the lip makeup may vary due to the differences in computer monitors and phone screens. 
Important: All makeup products that will be shipped will have a shelf-life of minimum 12 months to 36 months",[],ADD TO BAG
makeup,"Treasure IT Suede Matte Lipstick - Bold Love (Bright Coral Orange Shade) | Long Lasting, Non Drying Bullet Lipstick With Vitamin E, Cocoa Butter (4.2g)",₹549,,5 ratings,https://www.myglamm.com/product/treasure-it-suede-matte-lipstick-bold-love.html,94,Lip Makeup,Matte Lipstick,"MyGlamm Treasure It Suede Matte Lipstick - Bold Love is a bright coral lipstick shade enriched with the goodness of Vitamin E and Cocoa Seed Butter for soft moisturised lips. One swipe for an airy, velvet matte finish and long-lasting intense pigment. The result — soft and supple lips with a rich burst of luscious colour that lasts all day.
Available in 10 different shades, you can choose matte lipstick shades from deep rose, rusty brown to ruby reds to enhance your look! Put on your favourite shade of MyGlamm Suede Matte Lipstick and own every path you walk.
Key Benefits:
Luxurious, smooth matte texture
Enriched with Vitamin E and Cocoa Seed Butter for hydration
Non-drying for extended comfortable wear
Long wear formula with minimal retouches
Highly pigmented lipstick for rich colour pay-off
The MyGlamm range is made for the multitasking woman who wants the most out of her makeup and skincare. It's all about glamour that's easy and accessible. Our makeup is rooted in innovation and created with the best skin-friendly ingredients.
Net Weight: 4.2 g
Manufacturer Detail: Take2 Cosmetics, B-108, Bajrang Krupa Industrial Estate, Athal, Silvassa, 396230
Country of Origin: India
Dimensions: L: 23mm * B: 23mm * H: 77mm
Generic Name for Product: Treasure IT Suede Matte Lipstick
Disclaimer: Colours of the lip makeup may vary due to the difference in computer monitors and phone screens.
Important: All makeup products that will be shipped will have a shelf-life of a minimum 24 months to 36 months.",[],ADD TO BAG
makeup,Manish Malhotra Liquid Matte Lipstick - Strip tease,₹679,₹799,4.9 ratings,https://www.myglamm.com/product/manish-malhotra-liquid-matte-lipstick-strip-tease.html,826,Lip Makeup,Red Lipstick,"Strip Tease is a deep brick red shade for a bold lip thats time-tested yet on-trend. It is also PETA Approved cruelty-free and vegan.
Who says glamour is only about the glitz? The Manish Malhotra Liquid Matte Lipstick exclusively by MyGlamm is the only haute number youll need on a night out. Highly pigmented, this liquid lipstick mattifies into weightless velour on your lips.

Benefits:
Velvet matte finish
Weightless & moisturizing
Highly pigmented with full coverage
Easy to apply

Enhanced Properties:
Tattoo effect
Non-transferable
Pure unadulterated colour enhances with high-density pigments
Free of mineral oil, paraben, preservatives, D5, and talc

Manish Malhotra Haute Couture Makeup exclusively by MyGlamm brings you a little bit of couture for everyday glamour carefully curated with India's leading fashion designer, Manish Malhotra.

Net Weight:7 g

Manufacturer Detail
Regi India Cosmetics Pvt Ltd. C-08 Sara Industrial Estate, Chakrata Road, Rampur, Dehradun-248 197, Uttarakhand.

Country of Origin
Formulated in Italy

Disclaimer: Colours of the lip makeup may vary due to the differences in computer monitors and phone screens.
Important: All makeup products that will be shipped will have a shelf-life of minimum 5 months to 8 months.",[],ADD TO BAG
